GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
netquest-api,com.netquest.domain.wifispot.dto,WifiSpotAddressDto,24,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.wifispot.dto,WifiSpotDto,108,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.wifispot.dto,WifiSpotCreateDto,99,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.user.dto,UserDto,0,51,0,0,0,1,0,1,0,1
netquest-api,com.netquest.domain.user.service.impl,UserServiceImpl,20,132,0,2,2,22,1,14,1,13
netquest-api,com.netquest,NetquestBackendApplication,49,0,0,0,18,0,2,0,2,0
netquest-api,com.netquest,MongoDBConfig,6,0,0,0,2,0,2,0,2,0
netquest-api,com.netquest.domain.user.model,UserLastName,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserFirstName,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserMail,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserBirthDate,0,30,0,0,0,13,0,3,0,3
netquest-api,com.netquest.domain.user.model,UserAddress,0,24,0,0,0,10,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserId,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserPassword,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserVATNumber,0,9,0,0,0,5,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserGender,0,21,0,0,0,2,0,1,0,1
netquest-api,com.netquest.domain.user.model,User,0,38,0,0,0,13,0,1,0,1
netquest-api,com.netquest.domain.user.model,Username,0,12,0,0,0,6,0,2,0,2
netquest-api,com.netquest.domain.user.model,UserRole,0,27,0,0,0,2,0,1,0,1
netquest-api,com.netquest.domain.wifispotvisit.dto,WifiSpotVisitDto,18,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.wifispotvisit.dto,WifiSpotVisitHistoryDto,18,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.wifispotvisit.exception,WifiSpotVisitEndDateTimeAlreadyFilledException,4,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.wifispotvisit.exception,FutureWifiSpotVisitEndDateTimeException,0,4,0,0,0,1,0,1,0,1
netquest-api,com.netquest.domain.wifispotvisit.exception,WifiSpotVisitDatesConflictException,4,0,0,0,2,0,1,0,1,0
netquest-api,com.netquest.domain.wifispotvisit.exception,WifiSpotVisitEndDateTimeBeforeWifiSpotVisitStartDateTimeException,0,4,0,0,0,1,0,1,0,1
netquest-api,com.netquest.domain.wifispotvisit.exception,WifiSpotVisitOngoingException,4,0,0,0,2,0,1,0,1,0
netquest-api,com.netquest.domain.wifispotvisit.exception,FutureWifiSpotVisitStartDateTimeException,0,4,0,0,0,1,0,1,0,1
netquest-api,com.netquest.domain.wifispotvisit.exception,WifiSpotVisitNotFoundException,4,0,0,0,1,0,1,0,1,0
netquest-api,com.netquest.domain.wifispotvisit.exception,WifiSpotVisitInSameWifiSpotInLast10Minutes,4,0,0,0,2,0,1,0,1,0
